Player,Pos,G,MP,FGA,3PA,3P%
Keith Bogans,SF,73,24.5,6.2,2.6,0.358
Rasual Butler,SF,45,15,5.6,2.4,0.463
Eddie House,SG,60,19.8,7.5,2.3,0.375
Greg Ostertag,C,78,27.6,5.6,0,0
Jannero Pargo,PG,31,15.5,6.4,2,0.355
Fred Hoiberg,SG,79,22.8,4.8,2.2,0.442
Eddie Robinson,SF,51,20.1,6.4,0.1,0.2
Jake Voskuhl,C,66,24.3,4.5,0,0
Michael Olowokandi,C,43,21.5,6.6,0,0
Dajuan Wagner,SG,44,16.1,7,2,0.36
Kareem Rush,SG,72,17.3,6,1.9,0.348
Chris Mihm,C,76,17.5,5,0,0
Rod Strickland,PG,61,19.6,5.8,0.6,0.278
Predrag Drobnjak,C,61,15.6,6.2,0.6,0.306
Aaron Williams,C,72,18.6,4.8,0,0.333
Jerome Williams,PF,68,24.1,4.9,0.1,0
Jon Barry,SG,57,19.3,5.2,2.4,0.37
Keyon Dooling,PG,58,19.6,6.1,0.8,0.174
Ronald Dupree,SF,47,19,6,0.2,0.444
Anthony Johnson,PG,73,21.9,5.6,1.7,0.336
Kelvin Cato,PF,69,25.3,5.2,0,0
Tyson Chandler,PF,35,22.3,4.5,0,0
Jeff Foster,C,82,23.9,4.4,0,0
Chris Kaman,C,82,22.5,5.3,0,0
Charlie Ward,PG,71,17.6,5.5,2.9,0.408
Lee Nailon,PF,57,13.7,5.7,0.1,0
Kenny Anderson,PG,44,20.6,5.8,0.1,0.25
Dana Barros,SG,1,11,3,0,0
Jarron Collins,C,81,21.4,3.6,0,0
Tony Delk,SG,33,15.4,5.6,2,0.303
Casey Jacobsen,SF,78,23.4,4.6,2.3,0.417
Lamond Murray,SF,33,15.7,6.5,1.8,0.35
Marcus Banks,PG,81,17.1,5.5,1.1,0.314
Steve Blake,PG,75,18.6,5.4,2.7,0.371
Jason Collins,C,78,28.5,4.9,0,0
Christian Laettner,PF,48,20.5,5.3,0.4,0.286
Scottie Pippen,SF,23,17.9,6.1,2.1,0.271
Wesley Person,SG,58,17.9,5.4,2.4,0.399
Stacey Augmon,SF,69,20.5,5,0.1,0.143
John Salmons,SG,77,20.8,5.4,1.9,0.34
Dan Gadzuric,C,75,16.8,4.7,0,0
Jared Jeffries,PF,82,23.3,5.7,0.4,0.167
Anthony Peeler,SG,75,18.5,4.6,1.9,0.482
Earl Watson,PG,81,20.6,5.7,1.3,0.245
Tony Battie,C,73,20.2,5.3,0.1,0.222
Elden Campbell,C,65,13.7,4.8,0,0
Dikembe Mutombo,C,65,23,4.5,0,0
Gary Trent,C,68,15.1,4.8,0.1,0
Luke Ridnour,PG,69,16.1,5.1,1.2,0.338
DerMarr Johnson,SF,21,13.7,4.6,1.7,0.361
Erick Strickland,PG,43,13.3,4.6,1.5,0.439
Kedrick Brown,SF,55,17.6,4.6,1.8,0.384
Mickaël Piétrus,PG,53,14.1,4.4,2,0.333
Robert Traylor,C,71,13.3,4,0.1,0.4
Clarence Weatherspoon,PF,52,16.7,4.1,0,0
Austin Croshere,PF,77,13.6,4,1.9,0.389
Trenton Hassell,SG,81,28,4.7,0.2,0.308
Jerome James,C,65,15.2,4,0,0
