Player,Pos,G,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Jaylin Williams,PF,47,0.692,6.7,28.7,17.9,19,1.3,3.7,13,14.6
Pelle Larsson,SG,55,0.468,4,9,6.5,11.6,2,0.9,9.5,14.4
Cam Thomas,SG,25,0.43,2.1,10.4,6,22.9,1,0.3,10.6,32.6
Lindy Waters III,SG,52,0.747,2.7,12.8,7.6,9.1,1.7,1.3,7.3,14.8
Lonzo Ball,PG,35,0.802,3.4,12.3,8,18.9,2.8,1.9,13.9,15.9
Orlando Robinson,C,44,0.199,12.1,18.7,15.4,14,1.1,2,14.4,18.5
Eric Gordon,SG,39,0.672,1.1,5.8,3.4,12,1.7,1.5,11.1,14.4
Gui Santos,PF,56,0.575,9.9,14.5,12.1,14.2,1.6,1.2,17.5,13.2
Landry Shamet,SG,50,0.678,1.7,7.5,4.6,4.7,1.5,0.2,8.5,14.8
Svi Mykhailiuk,SF,38,0.672,3.1,9.6,6.4,14.7,1.2,0.9,14.1,20.3
Andre Drummond,C,40,0.085,15.8,31.6,23.4,6.8,2.6,2.4,16.7,19.1
Jabari Walker,PF,60,0.314,8.3,22.6,15.3,7.2,2.1,0.7,11.6,16.3
Jay Huff,C,64,0.656,4.3,13.9,9.1,7,1,6.9,9.3,19.6
Drew Eubanks,C,61,0.031,8.9,24.1,16.5,10.6,0.8,5,15.4,15.1
Talen Horton-Tucker,SG,58,0.419,2.8,11.5,7.2,16.1,1.4,1.3,10.7,21.6
Gary Harris,SG,48,0.759,3.1,7.5,5.2,5.8,1.8,1.6,10.9,9.5
Micah Potter,C,38,0.726,6.6,18.4,12.5,5.8,1,1.9,17.7,10.3
Jett Howard,SF,60,0.71,3.1,8.6,5.7,9.6,0.9,1.5,11.7,19.2
DeAndre Jordan,C,56,0,14,30.3,22.6,9.5,1.1,3.5,19.2,12.8
Quinten Post,PF,42,0.653,5.3,18.3,11.6,12.2,1.1,2.5,10.3,19.6
Blake Wesley,SG,58,0.312,2.7,6.9,4.8,22.3,2.6,0.8,20.2,16.7
Sandro Mamukelashvili,PF,61,0.573,9.7,19.7,14.7,10.7,1.6,2.3,7.8,20.8
Marcus Smart,PG,34,0.549,2.8,8.3,5.6,21.7,2.7,1.2,15.8,20.6
Jalen Pickett,SG,49,0.561,2.6,8.8,5.9,19.5,1.4,0.7,11.6,13.2
